"country","iso3c","region","date","confirmed","deaths","recovered","discarded_cases"
"Peru","PER",,2020-03-06,1,0,0,154
"Peru","PER",,2020-03-07,6,0,0,213
"Peru","PER",,2020-03-09,9,0,0,309
"Peru","PER",,2020-03-10,11,0,0,335
"Peru","PER",,2020-03-11,17,0,0,697
"Peru","PER",,2020-03-12,22,0,0,883
"Peru","PER","Arequipa",2020-03-13,2,0,0,
"Peru","PER","Cusco",2020-03-13,1,0,0,
"Peru","PER","Huánuco",2020-03-13,2,0,0,
"Peru","PER","Ica",2020-03-13,1,0,0,
"Peru","PER","Lima",2020-03-13,32,0,0,
"Peru","PER",,2020-03-13,38,0,0,1194
"Peru","PER","Arequipa",2020-03-14,2,0,0,
"Peru","PER","Cusco",2020-03-14,1,0,0,
"Peru","PER","Huánuco",2020-03-14,2,0,0,
"Peru","PER","Ica",2020-03-14,1,0,0,
"Peru","PER","Lima",2020-03-14,37,0,0,
"Peru","PER",,2020-03-14,43,0,0,1502
"Peru","PER","Ancash",2020-03-15,1,0,0,
"Peru","PER","Arequipa",2020-03-15,2,0,0,
"Peru","PER","Callao",2020-03-15,2,0,0,
"Peru","PER","Cusco",2020-03-15,1,0,0,
"Peru","PER","Huánuco",2020-03-15,2,0,0,
"Peru","PER","Ica",2020-03-15,1,0,0,
"Peru","PER","La Libertad",2020-03-15,1,0,0,
"Peru","PER","Lambayeque",2020-03-15,1,0,0,
"Peru","PER","Lima",2020-03-15,58,0,0,
"Peru","PER","Piura",2020-03-15,2,0,0,
"Peru","PER",,2020-03-15,71,0,0,1751
"Peru","PER","Ancash",2020-03-16,1,0,0,
"Peru","PER","Arequipa",2020-03-16,2,0,0,
"Peru","PER","Callao",2020-03-16,3,0,0,
"Peru","PER","Cusco",2020-03-16,1,0,0,
"Peru","PER","Huánuco",2020-03-16,2,0,0,
"Peru","PER","Ica",2020-03-16,1,0,0,
"Peru","PER","La Libertad",2020-03-16,1,0,0,
"Peru","PER","Lambayeque",2020-03-16,3,0,0,
"Peru","PER","Lima",2020-03-16,70,0,1,
"Peru","PER","Piura",2020-03-16,2,0,0,
"Peru","PER",,2020-03-16,86,0,1,2229
"Peru","PER","Ancash",2020-03-17,1,0,0,
"Peru","PER","Arequipa",2020-03-17,2,0,0,
"Peru","PER","Callao",2020-03-17,4,0,0,
"Peru","PER","Cusco",2020-03-17,1,0,0,
"Peru","PER","Huánuco",2020-03-17,2,0,0,
"Peru","PER","Ica",2020-03-17,1,0,0,
"Peru","PER","La Libertad",2020-03-17,1,0,0,
"Peru","PER","Lambayeque",2020-03-17,6,0,0,
"Peru","PER","Lima",2020-03-17,96,0,1,
